Project ID,Insect Type,Insect Order,Project Title,Project Description,Type,16s rRNA,full_results
PRJNA805352,Cnaphalocrocis medinalis,Lepidoptera,Gut microsymbiont of Cnaphalocrocis medinalis,Cnaphalocrocis medinalis gut Raw sequence reads,paired,0,0
PRJNA801754,Apriona germari larvae,Coleoptera,insect gut metagenome Raw sequence reads,Apriona germari larvae gut Raw sequence reads,single,0,0
PRJNA801070,Superworm (Zophobas morio) ,Coleoptera,Superworm (Zophobas morio) gut microbiome metagenomics,"Plastics are inexpensive and widely used organic polymers, but their high durability hinders biodegradation. Polystyrene, including extruded polystyrene also known as styrofoam, is among the most commonly produced plastics worldwide and is recalcitrant to microbial degradation. In this study, we examined superworms (Zophobas morio) reared on bran, polystyrene, and under starvation conditions and assessed changes in the insects gut microbiome. Superworms on a polystyrene diet achieved only minimal weight gains, but were able to complete their life cycle to pupae and imago. Microbial gut communities differed considerably between diet groups, with polystyrene and starvation groups characterized by a loss of microbial diversity combined with the presence of opportunistic pathogens. Inferred microbial functions enriched in the polystyrene group included transposon movements, membrane restructuring, and adaptations to oxidative stress. We detected several encoded enzymes with reported polystyrene and styrene degradation abilities and provided first insights into involved metabolic pathways, supporting previous reports of polystyrene degrading bacteria in the superworm gut. However, we cannot rule out that the microbiome also metabolized other chemicals, such as flame retardants, present in low concentrations in styrofoam. By recovering metagenome-assembled genomes (MAGs) we linked phylogeny and functions and identified genera, including Pseudomonas, Rhodococcus and Corynebacterium, that possess genes associated with polystyrene degradation. In conclusion, our results demonstrate the survival of superworms on polystyrene feed, however, this diet has considerable negative impacts on gut microbiome diversity and host health.",paired,0,0
PRJNA797557,Bee,Hymenoptera,dynamics of gut microbiome in winter bees,dynamics of gut microbiome in winter bees is response to food shifts and gut microbiome can provide essential amino acids for winter bees Raw sequence reads,single,0,0
PRJNA796132,silkworm,Lepidoptera,The studies of microbial diversity on silkworm excrement,To reveal the effects of housefly larvae on microbial diversity of silkworm excrement,paired,0,0
PRJEB47828,Blattella germanica,Blattodea,Gut microbiota cannot compensate the impact of (quasi) aposymbiosis in Blattella germanica,"The German cockroach Blattella germanica is a good model to study complex symbiotic relationships because two symbiotic systems coexist in a single individual: the endosymbiont Blattabacterium (living inside specialized cells called bacteriocytes) and the gut microbiota. Whereas the role of the endosymbiont has been fully elucidated, the function of the gut microbiota remains unclear. Its study will benefit from the availability of insects deprived of Blattabacterium. Our goal is to determine the effect of the removal (or, at least, reduction) of the endosymbiont population on the cockroach’s fitness under a normal gut microbiota community. For this purpose, we treated our cockroach population with rifampicin to decrease the amount of endosymbiont in the following generation. As the treatment also affects rifampicin-sensitive gut bacteria, we allowed it to recover for at least 20 days before sampling. We found that after this antibiotic treatment, the endosymbiont population remained extremely reduced and only the microbiota was able to recover, although it could not compensate for the endosymbiont role, and host’s fitness was drastically affected. This accomplished reduction, however, is not homogenous and requires further study to develop stable quasi-aposymbiotic cockroaches.",paired,0,0
PRJNA793990,Ant(Cephalotes rohweri),Hymenoptera,"Thermal sensitivity and seasonal change in the gut microbiome of a desert ant, Cephalotes rohweri","In a set of field-based observations, we characterized gut bacterial communities and thermal exposure across a population of desert arboreal ants (Cephalotes rohweri) using 16S amplicon sequencing. In a paired growth chamber experiment, we exposed ant colonies to variable temperature regimes differing by 5C for three months.",paired,1,1
PRJNA792398,Honeybee,Hymenoptera,The gut microbiota affects the social network of honey bees,"The gut microbiota influences animal neurodevelopment and behavior but has not previously been documented to affect emergent group-level properties of social organisms. Here we use honeybees to probe the effect of the gut microbiota on host social behavior. We found that the microbiota increased the rate of interaction between bees and the complexity of the emergent colony social network. Microbiota colonization was associated with higher abundances of one third of the metabolites detected in the brain, including amino acids with roles in synaptic transmission and brain energetic function. A subset of these metabolites were significant predictors of the number of social interactions of bees. Microbiota colonization also affected brain transcriptional processes related to amino acid metabolism and epigenetic modifications, particularly in areas of the brain implicated in sensory perception. These results demonstrate considerable effects of the gut microbiota on honeybee social organization and highlight the associated changes in individual neurophysiology.",paired,1,1
PRJNA791511,Bombyx mori,Lepidoptera,Systematic Study on the Microbiome of Bombyx mori on Artificial Diet,"he sericulture industry is facing transformation and upgrading, but the mulberry-leaf oligophagous silkworm, which has been domesticated for a long time, has declined in growth and development and immune and disease resistance under artificial feed. In view of the fact that the intestinal microbes of the silkworm are closely related to the digestion, utilization, growth and development of host, this study has done a systematic study on the gut microbes of the silkworm by artificial feed: analyzed the influence of food source differences on the microbiota of silkworm gut in detail, constructed a Food-Gut-Feaces-Food microbial transfer model, screened the key genera of the system, evaluated the application of antibiotics in artificial feed. It laid the foundation for the research on the intestinal microbes of the silkworm reared by artificial feed, and also provided clues and technical references for other animal intestinal microbiota.",paired,0,0
PRJNA790707,Spodoptera frugiperda,Lepidoptera,16s rRNA sequencing of Spodoptera frugiperda and corn seedlings,To study the bacterial communities of Spodoptera frugiperda and corn seedlings systematically.,paired,0,0
PRJNA787447,summer cockchafer (Amphimallon solstitiale),Coleoptera,Mirobiome from the midgut of the summer cockchafer (Amphimallon solstitiale),"The study focused on on the potential relationships between midgut microbiota of the summer cockchafer, Amhimallon solstitiale larvae and their resistance to entomopathogenic nematodes.",single,0,0
PRJNA786615,Apis mellifera,Hymenoptera,Characterization of gut bacteria of italian honey bee Apis mellifera (Apidae: hymenoptera),"Even though enough work has been carried out in other parts of the world on microbial communities associated with the gut of A. mellifera, there is minimal information on the gut microbiota of Apis mellifera with respect to Indian populations. And also, there is no compressive work combining both culture dependent and independent approach on Indian populations. So, we have done this study on isolation and characterization of gut bacteria from different regions of the gut of forager and hive bee of A. mellifera through culture dependent approaches by microbial isolation coupled with generic characterization of using 16S ribosomal RNA probes and culture independent approaches like phospholipid fatty acid (PLFA) analysis and next generation sequencing (metagenomics). In addition, biochemical studies were carried out to screen the cellulolytic, hemicellulolytic, lipolytic, pectinolytic and invertase activities of gut bacterial isolates in order to understand the role of the gut bacterial isolates in digestion and nutrition.",paired,0,0
PRJNA785799,Apis cerana,Hymenoptera,Apis cerana cerana Raw sequence reads,normal RNA_Seq with the gut of Apis cerana cerana,paired,0,0
PRJNA785562,Dysdercus,Hemiptera,Analysis of the intestinal microbiota of Dysdercus associated with wild cotton with and without transgenes.,Analysis of the intestinal microbiota of Dysdercus associated with wild cotton with and without transgenes.,paired,1,1
PRJNA784173,Colorado potato beetle,Coleoptera,16S metagenomics of Colorado potato beetle gut after topical infection with Beauveria bassiana,16S metagenomics of Colorado potato beetle gut after topical infection with Beauveria bassiana,paired,1,0
PRJEB48937,Honeybee,Hymenoptera,Honeybee hive bacteriome characterization,"Characterization of the bacterial consortia of the worker gut, bee bread, hive entrance and internal hive air of honey bee colonies under contrasting environments, through 16S rRNA amplicon sequencing. Contrasting environments consisted of an agricultural, a semi-natural and a pristine habitat. The semi-natural apiary was located at the edges of both agricultural and natural areas. Hives were established on spring, and sampled 17 days after hive formation. Characterization was performed via amplification of the V4 rergion of the 16S rRNA gene (""Earth Microbiome Project"" protocol) using an Illumina MiSeq sequencer with a v2 PE 2x150bp kit.",single,0,0
PRJNA781104,Tephritid ,Diptera,Tephritid gut microbiota 16S RNA Sequences,The project aimed at deciphering the determinants of gut bacterial composition in Tephritid fruit flies,single,0,0
PRJNA778521,Grapholita molesta,Lepidoptera,Microbial diversity on Grapholita molesta,Data on Grapholita molesta intestinal microbiome diversity before and after antibiotic treatment.,single,0,0
PRJNA777397,Honeybee,Hymenoptera,Gut microbiome of honey bee from western India,Gut microbiome of honey bee from western India,paired,1,1
PRJNA776089,Nilaparvata lugens,Hemiptera,midgut microbial community of Nilaparvata lugens,"In this research, we used an Illumina PE250 to detect structural changes in the community of symbiotic microorganisms (bacteria and fungi) in N. lugens after treatment with M. flavoviride to provide foundational information to be considered when improving pest control using entomopathogenic fungi.",paired,0,0
PRJNA775827,Apis mellifera,Hymenoptera,Bacterial and fungal communities in the crop and intestine of European honeybee (Apis mellifera),Bacterial and fungal communities in the crop and intestine of European honeybee (Apis mellifera) across sites with varying degrees of urbanization,paired,0,0
PRJNA774758,Apis mellifera,Hymenoptera,The effect of social reversion on the honey bee (Apis mellifera) hindgut microbiota,"The honey bee (Apis mellifera) gut microbiome is integral for individual and colony-level health. A healthy gut microbiome is tied to central metabolism, provides protection from pathogens, aids in detoxification, and primes the immune system. Among the worker caste, age-based polytheism dictates the division of labor and is also integral to colony success. Independent of age, the honey bee worker can assume various physiological/behavioral roles based on colony needs. We investigated the disruption of worker age demographics on the ileum and rectum (hindgut) microbiomes, specifically, we forced foragers to revert to nursing; a task associated with youthful physiology. We hypothesized that the repeated consumption of pollen would result in oxidative stress and alterations to the microbiota. We found that the core hindgut microbiome remained relatively stable, with the exception of two putative opportunistic bacteria that differed by treatment. Associated with increased expression of prophenoloxidase (PPO) in reverted foragers, we observed the formation of diverticula in the midgut suggesting a loss of gut integrity. Collectively, our results suggest stability of the hindgut microbiome, but senescence of the midgut with reversion phenotypes becoming susceptible to septicemia.",paired,1,1
PRJNA774185,Drosophila,Diptera,Drosophila gut metagenome Raw sequence reads,Drosophila gut metagenome Raw sequence reads,paired,0,0
PRJNA772085,,,Amplicon sequencing of single-copy protein-coding gene,Amplicon sequencing of single-copy protein-coding genes to reveal accurate diversity for sequence-discrete microbiome populations,paired,0,0
PRJNA770829,Periplaneta americana,Blattodea,insect gut metagenome Genome sequencing and assembly,Genome sequence of actinomycetes which were isolated from the intestinal tract of Periplaneta americana,paired,0,0
PRJNA769672,Bathycoelia distincta,Hemiptera,"A detection assay to identify alternative food sources of the two-spotted stink bug, Bathycoelia distincta","A plant detection assay was developed to identify plant DNA from stink bug gut. A feeding time trial was performed for Bathycoelia distincta insects. They were fed on maize and then transferred to macadamia and collected at different timepoints to determine for how long the maize DNA can still be detected. Additionally, stink bugs were collected from macadamia orchards to identify alternative food sources of the stink bugs. Extracted DNA were amplified with trnL and trnF chloroplast barcoding primers and sequenced with Illumina MiSeq.",paired,0,0
PRJNA767946,Honeybee,Hymenoptera,Gut bacteria encoding surface-layer proteins stimulate honeybee immune system to protect against pathogenic Hafnia alvei,Transcriptomic analysis of the gut epithelial of honeybees mono-colonized with Gilliamella and Apilactobacillus strains.,paired,0,0
PRJNA764450,Pantala flavescens,Odonata,Gut microorganisms of Pantala flavescens,The study was to research into gut microorganisms of Pantala flavescens,paired,1,0
PRJNA764176,Euschistus heros/Piezodorus guildinii,Hemiptera,Characterization and comparison of intestinal bacterial microbiomes of Euschistus heros and Piezodorus guildinii collected in Brazil and the United States,"Herbaceous insects are one of the main biological threats to crops. One such group of insects, stink bugs, do not eat large amounts of tissue when feeding on soybean, but are extremely damaging to the quality of the seed yield as they feed directly on green developing seeds leading to poorly marketable harvests. In addition to causing physical damage to the seed during feeding, the insects can also transmit microbial pathogens, leading to even greater yield loss. Conducting surveys of the insect intestinal microbiome can help identify possible pathogens, as well as detail what healthy stink bug digestive systems have in common. We used the conserved V4 region of the 16S rRNA gene to characterize the bacterial microbiome of the red-banded stink bug Piezodorus guildinii collected in Brazil and the United States, as well as the neotropical brown stink bug Euschistus heros collected in Brazil.",paired,1,1
PRJNA764175,Euschistus heros/Piezodorus guildinii,Hemiptera,Characterization and comparison of intestinal bacterial microbiomes of Euschistus heros and Piezodorus guildinii collected in Brazil and the United State,"Herbaceous insects are one of the main biological threats to crops. One such group 22 of insects, stink bugs, do not eat large amounts of tissue when feeding on soybean, but are 23 extremely damaging to the quality of the seed yield as they feed directly on green developing 24 seeds leading to poorly marketable harvests. In addition to causing physical damage to the seed 25 during feeding, the insects can also transmit microbial pathogens, leading to even greater yield 26 loss. Conducting surveys of the insect intestinal microbiome can help identify possible 27 pathogens, as well as detail what healthy stink bug digestive systems have in common. We used the conserved V4 region of the 16S rRNA gene to characterize the bacterial 29 microbiome of the red-banded stink bug Piezodorus guildinii collected in Brazil and the United 30 States, as well as the neotropical brown stink bug Euschistus heros collected in Brazil.",paired,1,1
PRJNA763083,Bombyx mori,Lepidoptera,Sequencing of gut microbiota of Bombyx mori,Sequencing of gut microbiota of Bombyx mori,single,0,0
PRJNA762197,Ensifera,Orthoptera,Gut microbiome of Ensifera,Structure and function of microbial community,paired,0,0
PRJNA761527,black soldier fly (Hermetia illucens) larvae,Diptera,Intestinal bacterial community in black soldier fly (Hermetia illucens) larvae,Intestinal bacterial community after inoculated with six different functional strains,single,0,0
PRJNA760270,Bombyx mori,Lepidoptera,Sequencing of intestinal microbiota of Bombyx mori Raw sequence reads,Changes of intestinal microorganisms in silkworms fed with alkaloids,paired,1,1
PRJNA759617,Bumble bee,Hymenoptera,Bee-associated fungi mediate effects of fungicides on bumble bees,"Here, we test the hypothesis that fungicides impact bumble bee health by disrupting bee-fungi interactions. We examine the interactive effects of the fungicide propiconazole and fungal supplementation on the survival, reproduction, and gut microbiome composition of microcolonies (queenless colonies) using two species, Bombus vosnesenskii and B. impatiens. We examined fungal crop and gut microbiomes using Illumina sequencing of the ITS2 region, and examined bacterial microbiomes through Illumina sequencing of the 16S V6-V8 region.",paired,0,0
PRJNA759353,black soldier fly,Diptera,Intestinal bacteria of black soldier fly,Intestinal bacteria of black soldier fly at different instars,paired,0,0
PRJNA756562,Culicoides,Diptera,"Species identity, life history, and geographic distance influence gut bacterial communities in lab-reared and European field-collected Culicoides biting midges","Bacteria are part of the insect gut system and influence many physiological traits oftheir host. Gut bacteria may even reduce or block the transmission of arboviruses in several species of arthropod vectors. Culicoides biting midges are important arboviral vectors of several livestock and wildlife diseases, yet limited information is available on their gut bacterial communities. Addressing this gap will help inform how these communities can be manipulated and ultimately used as novel tools to control pathogens. To assess how bacterial communities change during the life stages of lab-reared C. nubeculosus and C. sonorensis , endosymbiotic bacteria were identified using Illumina sequencing of 16S rRNA and taxonomically characterized. Analyses were conducted to determine how gut bacterial communities in adults are influenced by species identity and geographic distance among biting midge populations. Communities of the two lab-reared Culicoides species significantly changed after pupation and with maturation into six-day-old adults. Pseudomonas, Burkholderiaceae and Leucobacter bacteria were part of a core community that was trans-stadially transmitted and found throughout their life cycle. Among field-collected biting midges, the bacterial communities were unique for almost each species. Cardinium, Rickettsia and Wolbachia were some of the most abundant bacteria in midges collected from wetlands. Only Pseudomonas was present in high relative abundance in all field-collected species. In this study, species identity, as well as geographic distance, influenced the gut bacterial communities and may partly explain known inter- and intra-species variability in vector competence. Additionally, stably associated bacterial species could be candidates for paratransgenic strategies to control vector-borne pathogens",paired,1,0
PRJNA754497,Spodoptera frugiperda,Lepidoptera,insect gut metagenome Raw sequence reads,Different host plants feeding reveal intestinal bacterial diversity and community structure in larvae of Spodoptera frugiperda,paired,0,0
PRJNA753053,housefly ,Diptera,House fly gut Raw sequence reads,Adult house flies feed and breed in wide range of microbe-rich habitats and serves as vectors for diverse human and animal pathogens. Therefore the goal of this study was to evaluate bacterial communities in the gut of wild-caught flies and assessing the influence of habitat on bacterial diversity and communities. Information obtained from this study can be used to develop house fly management strategies.,paired,0,1
PRJDB11190,Drosophila,Diptera,Drosophila gut microbiome in adult flies which experienced larval IMD activation,Drosophila gut microbiome in adult flies which experienced larval IMD activation. IMD is activated by 1 micro molar of RU486 using Da-GeneSwitch>IMDca during larval stage. Adult flies were maintained upon standard diet for 10 days.,paired,1,1
PRJNA749807,Bee,Hymenoptera,Vulture Bee Microbiome,"The aim of this project is to compare the microbiomes of pollenivorous, facultatively necrophagous and obligately necrophagous stingless (meliponini) bees using 16S rRNA. The goal is to determine whether the microbiome has been altered from the ancient core members that corbiculate apids share. This is relevant for understanding how extreme dietary shifts alter the microbiome and/or how the microbiome can facilitate these dietary shifts. Additionally, broadening the study of the microbiome of carrion-feeders can allow insight into how they protect themselves from pathogens on carcasses.",paired,0,0
PRJNA749627,housefly ,Diptera,Intestinal bacteria from house fly larvae who treated with phage which target the Enterobacter hormaechei Raw sequence reads,A model intestinal phages in domestic flies was established through phage feeding experiments. We further analyzed whether the invasion of bacteriophages changed the composition of the host intestinal microbes,paired,1,0
PRJNA747108,Colorado potato beetle,Coleoptera,How Bt spores and Cry toxins synergistically enhance bacterial virulence against Colorado potato beetle,"Insect midgut appears the most important barrier on the path to Bacillus thuringiensis (Bt) infection. Pathophysiological features of Bt on of the Colorado potato beetle Leptinotarsa decemlineata (CPB) was studied to uncover main antibacterial midgut defence reactions. As a result of the studies, it was shown that the combined effect of Bt spores and Cry toxins leads to a synergistic effect in insect mortality compared to the separate treatments.",paired,1,0
PRJNA746668,housefly ,Diptera,Intestinal bacteria from house fly larvae which fed on bran with or without bacteriophages Raw sequence reads,This study was to test whether a deficiency of Pseudomonas aeruginosa strains in housefly larvae that was specifically caused using bacteriophages could reshape the composition of the intestinal bacteria and affect the development of housefly larvae.,paired,1,0
PRJNA745394,locust,Orthoptera,locust gut and integument microbiom (miseq),Microbiome-related aspects of locust density-dependent phase transition,paired,1,0
PRJNA742765,Apis mellifera,Hymenoptera,"Social Immunity in Aging Workers of Apis mellifera: Microbiota, Social Gene Expression and Disease Susceptibility in Honey Bee Colonies Overwinter.","Overwintering is a major contributor to honey bee colony loss worldwide and involves changes in environmental conditions, host physiology and behavior that render individuals more susceptible to disease. Aging, climate and social gene expression are all expected to play a major role in disease susceptibility throughout the winter months. Here we used a marked cohort of known-age worker honey bees to investigate the integrity of mouthpart and midgut microbiomes of overwintering workers at 19, 33, 50, and 70 days of age. We quantified gene expression associated with oxidative stress and social immunity from a mouthpart associated secretory (hypopharygeal) gland that interfaces with the extended social environment on many levels. Our results provide the first evidence that social immune expression is associated with the core gut microbiota in honey bees, and highlights the midgut as a vulnerable tissue overwinter in warm southern climates. Results suggest many microbiota centric hypotheses including cooperation, competition, and social hygienic host response to hive opportunists. We discovered a distinct physiological and microbiological trajectory of southern diutinus (long-lived) workers that differs drastically from the younger, short-lived workers in the colony. Antioxidant gene expression in aging bees was associated with decreased fungal load on the mouth, increases in core microbiota and increased longevity. The cold indoor overwintering environment was associated with a small and stable midgut microbiota structure and stable gene expression overwinter. In contrast, warm outdoor overwintering was associated with changes co-occurring throughout the alimentary tract microbiota that suggest both disease presence and resistance in older workers, but increased disease susceptibility for younger workers that emerged during the winter, including increases in Enterobacteriaceae, fungal load and other bacterial opportunists. Our results highlight social selection pressures that shaped the microbiome with evolution to a perennial life history.",paired,1,1
PRJNA742600,Scarab,Coleoptera,scarab larval gut microbiome,scarab larval gut microbiome,paired,1,1
PRJNA742196,Whitefly,Hemiptera,Identification and documentation of endosymbionts in whitefly ToLCV infesting tomato through Next Generation sequencing.,"Studies reveal that endosymbionts harboured by B. tabaci such as Arsenophonus sp., Hamiltonella sp., Wolbachia sp., and Rickettsia sp. in gut region are involved in virus transmission rather than supplementing essential aminoacids. So here we are intended to identify the endosymbionts present in the whitefly gut microbiome.",paired,1,0
PRJNA741666,Honeybee,Hymenoptera,"Chronic exposure to sublethal doses of imidacloprid combined with the microsporidium Nosema ceranae affects immunity, gut microbiota and survival of Africanized honey bees","In recent years, there has been growing concern over the use of pesticides such as the neonicotinoid imidacloprid, which is commonly used to combat pests worldwide. Different studies have shown the great impact that sublethal doses of this pesticide have on the health of non-target insects such as honey bees. In this study we investigated the sublethal effects of chronic exposure of imidacloprid on the immune response of Africanized honey bees and its impact on exposure to pathogens such as Nosema ceranae and the deformed wing virus (DWV), the gut microbial community and in honey bee survival. Our results showed that imidacloprid affected the immunity of Africanized honey bees, increasing the expression of lysozyme and decreasing the expression of hymenoptaecin, generating an abnormal physiological state. Imidacloprid together with N. ceranae decreased the expression of vitellogenin. Furthermore, imidacloprid did not affect N. ceranae infection or DWV replication. On the other hand, imidacloprid causes changes in the gut microbiota specially in N. ceranae infected bees. These alterations were reflected in the high mortality rates caused by imidacloprid alone or in combination with N. ceranae. These results corroborate previous findings in European honey bees, which showed the negative effects of imidacloprid. This study carried out on Africanized honey bees, it is a contribution to visualize the extent of the impact of imidacloprid on other honey bees lineages affected by the intensive use of pesticides.",paired,1,0
PRJNA739514,Black Soldier Fly,Diptera,Culture-Independent and Culture-Dependent Characterization of the Black Soldier Fly Gut Microbiome Reveals a Large Proportion of Culturable Bacteria with Potential for Industrial Applications,"We characterized the bacterial community composition in the guts of black soldier fly larvae (BSFL, Hermetia illucens; Linnaeus, 1758) reared on chicken feed, evaluating bacterial diversity by culture-dependent methods and amplicon sequencing of the 16S rRNA gene. Primers U341F and U806R were used for Illumina sequencing to amplify variable region V3 to V4 of the 16S rRNA gene. Sanger sequencing was performed with Bacteria-specific 16S primers as previously described in DOI: 10.1099/mic.0.037267-0.",paired,1,1
PRJNA732842,Apis mellifera,Hymenoptera,Honeyee (Apis mellifera) gut microbiome Raw sequence reads,"Honeyee (Apis mellifera) gut microbiome from field and lab colonies, treated with pesticides (thialcloprid, acetamiprid, oxalic acid)",paired,1,1
PRJNA725902,Drosophila,Diptera,Microplastics fished from the high Arctic and used to interrogate development in Drosophila larvae,Impact of ocean plastic contamination on the Drosophila</p><p>larvae development and the its gut microbiome,paired,0,0
PRJNA725672,Colorado potato beetle,Coleoptera,Formation of the Colorado potato beetle microbiome at different stages of ontogenetic development,Formation of the Colorado potato beetle microbiome at different stages of ontogenetic development,paired,1,0
PRJNA725070,housefly ,Diptera,Dynamic distribution of the gut microbiota of housefly larvae fed different concentrations of P. aeruginosa Y12 Raw sequence reads,"High concentrations of Pseudomonas aeruginosa significantly inhibit the development of housefly larvae, while low concentrations of P. aeruginosa exhibit little impact on the larvae. However, the pathogenic mechanism of P. aeruginosa towards housefly larvae remains unclear. In this study, the dynamic distribution of the gut microbiota of housefly larvae fed different concentrations of P. aeruginosa Y12 was investigated.",paired,0,0
PRJEB41306,Cockroach Blattella germanica,Blattodea,Inter-kingdom gut microbiome and resistome of the cockroach Blattella germanica,"In this experiment, we study the effect of the antibiotic kanamycin on the inter-kingdon hindgut microbiome in Blattella germanica, specifically its transmission, assembly and functions, was studied using a metagenomic analysis. The adult females were treated with kanamycin during the adult phase in the first generation. Individuals derived from these in the second generation for each treatment with antibiotics were 1) treated with the same antibiotic but starting in the nymphal period, 2) not treated with the antibiotic, or 3) not treated with the antibiotic but supplied with feces from a population control. Samples of nymphs and adult females were taken through the two generations for experimental and control condicions. After the dissection of insects, the DNA was extracted from the hindgut and the metagenomics analyses was performed to study the structure and function of its gut microbiome along development as well as the characterization of its resistome.",paired,0,0
PRJNA723677,honey bee,Hymenoptera,Seasonal dynamics of the honey bee gut microbiota in colonies under subtropical climate,"Honey bees (Apis mellifera) provide invaluable benefits for food production and maintenance of biodiversity of natural environments through pollination. They are widely spread across the world, being adapted to different climatic conditions. To survive the winter in cold temperate regions, honey bees developed different strategies including storage of honey and pollen, confinement of individuals during the winter, and an annual cycle of colony growth and reproduction. Under these conditions, winter honey bees experience physiological changes, including changes in immunity and the composition of honey bee gut microbiota. However, under tropical or subtropical climates, the life cycle can experience alterations, i.e. queens lay eggs during almost all the year and new honey bees emerge constantly. In the present study, we characterized nurses' honey bee gut microbiota in colonies under subtropical region through a year, combining qPCR, PCR-DGGE and 16S rDNA high throughput sequencing. We also identified environmental variables involved in those changes. Our results showed that under the mentioned conditions, the number of bacteria is stable throughout the year. Diversity of gut microbiota is higher in spring and lower in summer and winter. Gradual changes in compositions occur between seasons; Lactobacillus spp. predominate in spring while Gilliamella apicola and Snodgrasella alvi predominate in summer and winter. Environmental variables (mainly precipitations) affected the composition of the honey bee microbiota. Our findings provide new insights into the dynamics of honey bee gut microbiota and may be useful to understand the adaptation of bees to different environmental conditions.",paired,1,1
PRJNA723457,Eyprepocnemis alacris,Orthoptera,"Isolation, Identification and Characterization of Cellulolytic Microbes from the Gut of Eyprepocnemis alacris alacris (Serv. 1838)",The chief objective of this investigation was to separate the cellulase-producing bacterias from the gut of E. alacris alacris.,paired,0,0
PRJNA723172,O. furnacalis,Lepidoptera,Gut and faeces bacterial communities,The aim of the research is to investigate the impact of host plant species on the gut bacteria in O. furnacalis by comparing the composition and diversity of the bacterial communities in larval gut and faeces.,paired,1,0
PRJNA722170,Ant,Hymenoptera,Worker-dependent gut symbiosis in an ant.,"Diacamma sp. is one of the ant species with eusociality. In this project, we tried to reveal the community structure of microbiota among each caste, worker, queen, and male, in Diacamma sp., based on bacterial 16S amplicon sequencing analysis using a Illumina sequencer.",paired,1,1
PRJNA719481,Cyrtotrachelus buqueti,Coleoptera,Cyrtotrachelus buqueti intestinal metagenome,"The purpose of this project is to reveal the changes of intestinal microbial population after 2 hours of feeding by the larvae of Cyrtotrachelus buqueti, analyze the characteristics of microbial population diversity and other characteristics, and find out the dominant population of bamboo cellulose digesting. In this experiment, the larvae collected from the field were transported back to the laboratory, starved for 24 hours, then fed with fresh bamboo shoots for 2 hours, and then the intestinal contents were collected. All samples were taken under sterile conditions.",paired,0,0
PRJNA719169,honey bee,Hymenoptera,"Impact of Chronic Exposure to Sublethal Doses of Glyphosate on Honey Bee Immunity, Gut Microbiota and Infection by Pathogens","In order to deepen in our understanding of the effects of pesticide exposure on bee health, we aimed to elucidate the impact of chronic exposure to sublethal doses of glyphosate on the honey bee gut microbiota, immune response, and survival, and its po-tential interaction with the widespread pathogens N. ceranae and DWV.",paired,1,1
PRJNA718877,Pelidnota luridipes,Coleoptera,"Anterior and posterior gut microbiome (16S/ITS) of Pelidnota luridipes, a brazillian saproxilic beetle","Anterior and posterior gut microbiome (16S/ITS) of Pelidnota luridipes, a brazillian saproxilic beetle",paired,1,1
PRJNA716127,Galleria mellonella,Lepidoptera,Biodegradation of plastics from waste electrical and electronic equipment by Greater Wax Moth Larvae (Galleria mellonella),"The subject of this study is to investigate changes of microbial diversity in Galleria mellonella larvae's gut among the larvae fed with WRPU, WPS, WABS and beeswax",paired,1,0
PRJNA716085,silkworm,Lepidoptera,16S rRNA gene sequencing for silkworm gut content,Evaluation of the bacterial microbiome of Bombyx mori using a 16S rRNA amplicon Illumina sequencing,paired,1,1
PRJNA715298,Drosophila,Diptera,The impacts of microbiome and microbiota-derived sodium butyrate on Drosophila transcriptome and metabolome revealed by multi-omics analysis,"Drosophila melanogaster was used to investigate the influence of microbiota-derived intestinal flora and its metabolites on host transcriptional regulation by adding sodium butyrate to a sterile diet for constructing a sterile Drosophila model. In order to further investigate the effects of sodium butyrate on Drosophila melanogaster at the molecular mechanism level, we detected the abundance and composition of midgut microbial colonies based on 16S rRNA gene sequences, and analyzed the overall structure and metabolic activities of host transcriptional networks by combining transcriptome and non-target metabolomics data. Overall design: Drosophila were reared in bacteria and sterile environment, respectively, and sodium butyrate was added to diet. Drosophila RNA-seq and midgut 16S rDNA were performed to study the effects of intestinal microflora and its metabolites on host transcription and metabolic regulation.",paired,0,0
PRJNA714595,honey bee,Hymenoptera,Overwintering honeybees maintain a healthy and stable of intestinal bacteria,we investigated the composition and structure of the intestinal bacteria at different time periods and explored the dynamic changes of the intestinal bacteria in overwintering honeybees.,paired,1,0
PRJNA713820,fleahopper,Hemiptera,cotton fleahopper gut metadata,"The cotton fleahopper (Pseudatomoscelis seriatus (Reuter)) is an early season cotton pest but is also a generalist feeder and has been documented on over 135 different plant hosts from 35 families. Host plants were determined mainly by field observation or controlled lab feedings. To more accurately determine what the cotton fleahopper is eating under natural conditions, we collected cotton fleahopper nymphs from major known host plants and in fields of mixed plant composition. We then used amplicon sequencing with plant-specific primers to identify plant families injected by the cotton fleahopper. This proof-of-concept study is the first to show this techniques works in a mirid insect and ultimately will allow us to find what host plants cotton fleahoppers feed on prior to infesting cotton.",paired,1,1
PRJNA708319,Shredding Caddisfly,Trichoptera,qSIP samples Shredding Caddisfly gut and food microbiome Raw sequence reads,This dataset contains 16S rRNA gene sequences from a 4-day SIP lab incubation of leaf litter and caddisfly larvae feeding on leaf litter in 18O-H2O,paired,1,1
